Date/Time,Document Title,Document Url,respuesta_Adjudicatario,respuesta_Importe total,respuesta_Tipo de gasto
2014-03-07 15:00,DGC 975 2012,http://www.documentcloud.org/documents/956041-dgc-975-2012.html,Transportes Automotores 20 de Junio S.A.,10856.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-07 15:28,DGC 1714 2012,http://www.documentcloud.org/documents/957119-dgc-1714-2012.html,Honorable Senado de la Nación,1467.0,Gastos de protocolo y ceremonial
2014-03-07 15:37,DGC 1520 2012,http://www.documentcloud.org/documents/956840-dgc-1520-2012.html,Honorable Senado de la Nación,5552.7,Viáticos y gastos
2014-03-11 06:11,DGC 1566 2012,http://www.documentcloud.org/documents/956906-dgc-1566-2012.html,Honorable Senado de la Nación,26556.61,Caja chica
2014-03-11 06:12,DGC 2091 2012,http://www.documentcloud.org/documents/957712-dgc-2091-2012.html,Honorable Senado de la Nación,2776.35,Viáticos y gastos
2014-03-11 06:15,DGC 1455 2012,http://www.documentcloud.org/documents/956746-dgc-1455-2012.html,Honorable Senado de la Nación,1850.9,Viáticos y gastos
2014-03-11 06:18,DGC 1720 2012,http://www.documentcloud.org/documents/957126-dgc-1720-2012.html,Honorable Senado de la Nación,27592.0,Reintegro por gastos varios
2014-03-11 06:18,DGC 1936 2012,http://www.documentcloud.org/documents/957462-dgc-1936-2012.html,Honorable Senado de la Nación,3701.8,Viáticos y gastos
2014-03-11 06:42,DGC 1218 2012,http://www.documentcloud.org/documents/956411-dgc-1218-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-03-11 06:43,DGC 1915 2012,http://www.documentcloud.org/documents/957431-dgc-1915-2012.html,Honorable Senado de la Nación,7403.6,Viáticos y gastos
2014-03-11 08:38,DGC 1640 2012,http://www.documentcloud.org/documents/957015-dgc-1640-2012.html,Honorable Senado de la Nación,1361.0,Gastos de protocolo y ceremonial
2014-03-11 08:47,DGC 701 2012,http://www.documentcloud.org/documents/955363-dgc-701-2012.html,Turismo Sendas de Arturo Omar Genty,2375.0,Canje de pasajes
2014-03-11 08:53,DGC 1274 2012,http://www.documentcloud.org/documents/956490-dgc-1274-2012.html,Honorable Senado de la Nación,7403.6,Viáticos y gastos
2014-03-11 10:15,DGC 999 2012,http://www.documentcloud.org/documents/956080-dgc-999-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-03-11 10:46,DGC 211 2012,http://www.documentcloud.org/documents/954238-dgc-211-2012.html,Honorable Senado de la Nación,1326.0,Viáticos y gastos
2014-03-11 10:47,DGC 1547 2012,http://www.documentcloud.org/documents/956880-dgc-1547-2012.html,Nueva Chevallier S.A,12756.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 10:58,DGC 110 2012,http://www.documentcloud.org/documents/953919-dgc-110-2012.html,Honorable Senado de la Nación,10650.0,Asignación por bloque político
2014-03-11 11:07,DGC 1286 2012,http://www.documentcloud.org/documents/956506-dgc-1286-2012.html,Empresa Que Bus de Gonzalez Tarabelli S.R.L.,16433.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 11:14,DGC 747 2012,http://www.documentcloud.org/documents/955483-dgc-747-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
2014-03-11 11:15,DGC 217 2012,http://www.documentcloud.org/documents/954254-dgc-217-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-03-11 11:16,DGC 724 2012,http://www.documentcloud.org/documents/955423-dgc-724-2012.html,Nueva Chevallier S.A,22230.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 11:18,DGC 384 2012,http://www.documentcloud.org/documents/954619-dgc-384-2012.html,Crucero del Norte S.R.L.,7086.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 11:19,DGC 1065 2012,http://www.documentcloud.org/documents/956188-dgc-1065-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-03-11 11:21,DGC 557 2012,http://www.documentcloud.org/documents/954976-dgc-557-2012.html,Zenit de Zenit Transporte S.R.L.,730.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 11:45,DGC 969 2012,http://www.documentcloud.org/documents/956031-dgc-969-2012.html,Honorable Senado de la Nación,4318.8,Viáticos y gastos
2014-03-11 11:57,DGC 1984 2012,http://www.documentcloud.org/documents/957548-dgc-1984-2012.html,Honorable Senado de la Nación,3000.0,Gastos de protocolo y ceremonial
2014-03-11 12:02,DGC 960 2012,http://www.documentcloud.org/documents/956019-dgc-960-2012.html,Honorable Senado de la Nación,2879.2,Viáticos y gastos
2014-03-11 12:19,DGC 1150 2012,http://www.documentcloud.org/documents/956316-dgc-1150-2012.html,Honorable Senado de la Nación,27935.81,Caja chica
2014-03-11 12:20,DGC 2151 2012,http://www.documentcloud.org/documents/957794-dgc-2151-2012.html,Honorable Senado de la Nación,2776.35,Viáticos y gastos
2014-03-11 12:21,DGC 757 2012,http://www.documentcloud.org/documents/955511-dgc-757-2012.html,,,
2014-03-11 12:46,DGC 1240 2012,http://www.documentcloud.org/documents/956442-dgc-1240-2012.html,Expreso Tigre Iguazu S.R.L.,6920.0,"Pasajes aéreos, terrestres, tasas y otros"
2014-03-11 12:48,DGC 1078 2012,http://www.documentcloud.org/documents/956209-dgc-1078-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
2014-03-11 12:52,DGC 356 2012,http://www.documentcloud.org/documents/954579-dgc-356-2012.html,Honorable Senado de la Nación,27997.55,Caja chica
2014-03-11 12:53,DGC 1122 2012,http://www.documentcloud.org/documents/956276-dgc-1122-2012.html,Honorable Senado de la Nación,15730.0,Viáticos y gastos
2014-03-11 12:55,DGC 232 2012,http://www.documentcloud.org/documents/954298-dgc-232-2012.html,Honorable Senado de la Nación,5758.4,Viáticos y gastos
2014-03-11 13:09,DGC 181 2012,http://www.documentcloud.org/documents/954146-dgc-181-2012.html,,,
2014-03-11 13:12,DGC 481 2012,http://www.documentcloud.org/documents/954844-dgc-481-2012.html,AUSA autopistas urbanas S.A.,7541.5,Servicio de peaje y telepeaje
2014-03-11 13:14,DGC 262 2012,http://www.documentcloud.org/documents/954389-dgc-262-2012.html,Honorable Senado de la Nación,1673.0,Viáticos y gastos
2014-03-11 13:16,DGC 2066 2012,http://www.documentcloud.org/documents/957676-dgc-2066-2012.html,Honorable Senado de la Nación,8840.0,Publicidad y propaganda
2014-03-11 13:19,DGC 858 2012,http://www.documentcloud.org/documents/955793-dgc-858-2012.html,Honorable Senado de la Nación,28894.36,Caja chica
