Foto,Diputado,Distrito,Inicia mandato,Finaliza mandato,Bloque
,"GROSSO, LEONARDO",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GUCCIONE, JOSE DANIEL",MISIONES,10/12/2011,9/12/2015,FRENTE RENOVADOR DE LA CONCORDIA MISIONES - FPV-PJ
,"GUTIERREZ, HECTOR MARIA",BUENOS AIRES,10/12/2013,9/12/2017,UCR
,"GUTIERREZ, MONICA EDITH",CORDOBA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"GUZMAN, SANDRO ADRIAN",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE RENOVADOR
,"HARISPE, GASTON",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"HELLER, CARLOS SALOMON",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,FRENTE NUEVO ENCUENTRO
,"HERRERA, JOSE ALBERTO",SANTIAGO DEL ESTERO,10/12/2011,9/12/2015,FRENTE CIVICO POR SANTIAGO
,"HERRERA, GRISELDA NOEMI",LA RIOJA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"IANNI, ANA MARIA",SANTA CRUZ,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"INSAURRALDE, MARTIN",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"ISA, EVITA NELIDA",SALTA,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"JAVKIN, PABLO LAUTARO",SANTA FE,10/12/2013,9/12/2017,COALICION CIVICA ARI - UNEN
,"JUAREZ, MYRIAN DEL VALLE",CATAMARCA,10/12/2013,9/12/2017,FRENTE CIVICO Y SOCIAL DE CATAMARCA
,"JUAREZ, MANUEL HUMBERTO",SANTIAGO DEL ESTERO,10/12/2013,9/12/2017,FRENTE CIVICO POR SANTIAGO
,"JUNIO, JUAN CARLOS ISAAC",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,FRENTE NUEVO ENCUENTRO
,"KOSINER, PABLO FRANCISCO JUAN",SALTA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"KRONEBERGER, DANIEL RICARDO",LA PAMPA,10/12/2011,9/12/2015,UCR
,"KUNKEL, CARLOS MIGUEL",BUENOS AIRES,10/12/2013,9/12/2017,FRENTE PARA LA VICTORIA - PJ
,"LAGORIA, ELIA NELLY",CHUBUT,10/12/2013,9/12/2017,TRABAJO Y DIGNIDAD
,"LANDAU, JORGE ALBERTO",BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"LARROQUE, ANDRES",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"LEVERBERG, STELLA MARIS",MISIONES,10/12/2011,9/12/2015,FRENTE RENOVADOR DE LA CONCORDIA MISIONES - FPV-PJ
,"LINARES, MARIA VIRGINIA",BUENOS AIRES,10/12/2011,9/12/2015,GEN
,"LOPEZ, PABLO SEBASTIAN",SALTA,10/12/2013,9/12/2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,"LOTTO, INES BEATRIZ",FORMOSA,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
,"LOUSTEAU, MARTIN",CIUDAD de BUENOS AIRES,10/12/2013,9/12/2017,SUMA + UNEN
,"LOZANO, CLAUDIO RAUL",CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,UNIDAD POPULAR
,"MAC ALLISTER, CARLOS JAVIER",LA PAMPA,10/12/2013,9/12/2017,UNION PRO
